11-28 17:42:03.414: D/LeakCanary(20321): In com.example.leakcanary:null:0.
11-28 17:42:03.415: D/LeakCanary(20321): * com.example.leakcanary.MainActivity has leaked:
11-28 17:42:03.415: D/LeakCanary(20321): * GC ROOT thread java.lang.Thread.<Java Local> (named 'AsyncTask #4')
11-28 17:42:03.415: D/LeakCanary(20321): * references com.example.leakcanary.MainActivity$2.this$0 (anonymous subclass of android.os.AsyncTask)
11-28 17:42:03.415: D/LeakCanary(20321): * leaks com.example.leakcanary.MainActivity instance
11-28 17:42:03.415: D/LeakCanary(20321): * Retaining: 26 KB.
11-28 17:42:03.415: D/LeakCanary(20321): * Reference Key: fd1d64aa-c913-4705-abf1-fe844509c872
11-28 17:42:03.415: D/LeakCanary(20321): * Device: Xiaomi Xiaomi MI 3C cancro
11-28 17:42:03.415: D/LeakCanary(20321): * Android Version: 6.0.1 API: 23 LeakCanary: 4.0+ git_sha
11-28 17:42:03.415: D/LeakCanary(20321): * Durations: watch=5089ms, gc=148ms, heap dump=5844ms, analysis=25566ms
11-28 17:42:03.415: D/LeakCanary(20321): * Details:
11-28 17:42:03.415: D/LeakCanary(20321): * Instance of java.lang.Thread
11-28 17:42:03.415: D/LeakCanary(20321): |   static NANOS_PER_MILLI = 1000000
11-28 17:42:03.415: D/LeakCanary(20321): |   static defaultUncaughtHandler = com.android.internal.os.RuntimeInit$UncaughtHandler@851448528 (0x32c012d0)
11-28 17:42:03.415: D/LeakCanary(20321): |   static count = 4634
11-28 17:42:03.415: D/LeakCanary(20321): |   static MAX_PRIORITY = 10
11-28 17:42:03.415: D/LeakCanary(20321): |   static $staticOverhead = byte[48]@1877252689 (0x6fe49a51)
11-28 17:42:03.415: D/LeakCanary(20321): |   static NORM_PRIORITY = 5
11-28 17:42:03.415: D/LeakCanary(20321): |   static MIN_PRIORITY = 1
11-28 17:42:03.415: D/LeakCanary(20321): |   contextClassLoader = dalvik.system.PathClassLoader@851455872 (0x32c02f80)
11-28 17:42:03.415: D/LeakCanary(20321): |   daemon = false
11-28 17:42:03.415: D/LeakCanary(20321): |   group = java.lang.ThreadGroup@1875386744 (0x6fc82178)
11-28 17:42:03.415: D/LeakCanary(20321): |   hasBeenStarted = true
11-28 17:42:03.415: D/LeakCanary(20321): |   id = 4633
11-28 17:42:03.415: D/LeakCanary(20321): |   inheritableValues = null
11-28 17:42:03.415: D/LeakCanary(20321): |   interruptActions = java.util.ArrayList@852297792 (0x32cd0840)
11-28 17:42:03.415: D/LeakCanary(20321): |   localValues = null
11-28 17:42:03.415: D/LeakCanary(20321): |   lock = java.lang.Object@851448160 (0x32c01160)
11-28 17:42:03.415: D/LeakCanary(20321): |   name = java.lang.String@852147984 (0x32cabf10)
11-28 17:42:03.415: D/LeakCanary(20321): |   nativePeer = -1411293184
11-28 17:42:03.415: D/LeakCanary(20321): |   parkBlocker = null
